year_month,total_revenue,num_orders,num_customers,avg_order_value
2009-12,798118.53,1666,951,479.06
2010-01,612365.5,1049,701,583.76
2010-02,537932.64,1189,771,452.42
2010-03,761748.53,1647,1051,462.51
2010-04,646455.56,1435,939,450.49
2010-05,643585.64,1484,965,433.68
2010-06,697384.87,1615,1035,431.82
2010-07,633079.42,1507,924,420.09
2010-08,674192.89,1402,910,480.88
2010-09,869277.16,1789,1136,485.9
2010-10,1094563.63,2244,1492,487.77
2010-11,1429751.84,2719,1606,525.84
2010-12,775717.5,1550,884,500.46
2011-01,670439.46,1081,739,620.2
2011-02,507866.54,1093,757,464.65
2011-03,689841.84,1440,973,479.06
2011-04,515469.66,1235,853,417.38
2011-05,740036.33,1668,1054,443.67
2011-06,737683.99,1525,990,483.73
2011-07,688252.67,1452,946,474.0
2011-08,724308.16,1339,933,540.93
2011-09,1028345.38,1818,1259,565.65
2011-10,1103330.92,2005,1361,550.29
2011-11,1452115.98,2751,1660,527.85
2011-12,614499.25,816,614,753.06
