customer_id,recency_days,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
12346.0,325,3,77352.96,2,3,5,10,Lost
12347.0,2,8,4921.53,5,4,5,14,VIP
12348.0,75,5,1658.4,3,4,4,11,Average
12349.0,18,3,3678.69,5,3,5,13,Loyal
12350.0,310,1,294.4,2,1,2,5,Lost
12351.0,375,1,300.93,2,1,2,5,Lost
12352.0,36,9,1729.54,4,5,4,13,VIP
12353.0,204,2,406.76,2,2,2,6,Lost
12354.0,232,1,1079.4,2,1,3,6,Cannot Lose
12355.0,214,2,947.61,2,2,3,7,Cannot Lose
12356.0,22,6,5611.73,4,4,5,13,VIP
12357.0,33,2,17437.66,4,2,5,11,New / Promising
12358.0,1,5,3447.07,5,4,5,14,VIP
12359.0,57,10,8873.39,4,5,5,14,VIP
12360.0,52,6,3612.89,4,4,5,13,VIP
12361.0,287,4,451.25,2,3,2,7,Lost
12362.0,3,10,4737.23,5,5,5,15,VIP
12363.0,109,2,552.0,3,2,2,7,Average
12364.0,7,4,1208.1,5,3,4,12,Loyal
12365.0,291,1,320.69,2,1,2,5,Lost
12366.0,633,1,500.24,1,1,2,4,Lost
12367.0,4,1,150.9,5,1,1,7,New / Promising
12368.0,628,1,917.7,1,1,3,5,Cannot Lose
12369.0,413,3,1511.15,1,3,4,8,Lost
12370.0,51,7,3956.56,4,4,5,13,VIP
12371.0,59,4,3347.38,3,3,5,11,Average
12372.0,71,3,1196.04,3,3,3,9,Average
12373.0,311,3,927.65,2,3,3,8,Lost
12374.0,25,3,2669.22,4,3,4,11,Loyal
12375.0,10,2,377.5,5,2,2,9,New / Promising
12376.0,389,2,383.15,2,2,2,6,Lost
12377.0,315,4,3266.32,2,3,5,10,Lost
12378.0,129,2,5416.32,3,2,5,10,Average
12379.0,81,4,1470.22,3,3,4,10,Average
12380.0,21,8,7210.65,4,4,5,13,VIP
12381.0,4,3,1474.81,5,3,4,12,Loyal
12383.0,184,5,1628.56,3,4,4,11,Average
12384.0,28,2,425.27,4,2,2,8,New / Promising
12385.0,379,1,1668.4,2,1,4,7,Cannot Lose
12386.0,337,2,401.9,2,2,2,6,Lost
12387.0,415,1,143.94,1,1,1,3,Lost
12388.0,15,8,3901.11,5,4,5,14,VIP
12389.0,402,3,1433.33,2,3,4,9,Lost
12390.0,79,1,504.84,3,1,2,6,Average
12391.0,21,6,2724.84,4,4,4,12,VIP
12392.0,591,1,234.75,1,1,1,3,Lost
12393.0,72,6,2399.45,3,4,4,11,Average
12394.0,63,2,1080.48,3,2,3,8,Average
12395.0,19,15,4241.17,5,5,5,15,VIP
12396.0,674,1,931.43,1,1,3,5,Cannot Lose
12397.0,35,2,2214.9,4,2,4,10,New / Promising
12398.0,45,1,1435.66,4,1,4,9,New / Promising
12399.0,119,7,1842.3,3,4,4,11,Average
12400.0,414,1,205.25,1,1,1,3,Lost
12401.0,303,1,69.3,2,1,1,4,Lost
12402.0,323,6,1136.9,2,4,3,9,At Risk
12403.0,49,2,947.36,4,2,3,9,New / Promising
12405.0,148,1,1390.39,3,1,4,8,Average
12406.0,22,5,6390.36,4,4,5,13,VIP
12407.0,49,5,1507.12,4,4,4,12,VIP
12408.0,32,8,3905.77,4,4,5,13,VIP
12409.0,78,7,23419.29,3,4,5,12,Average
12410.0,308,3,773.71,2,3,3,8,Lost
12411.0,409,1,346.9,1,1,2,4,Lost
12412.0,74,6,2404.93,3,4,4,11,Average
12413.0,66,4,871.45,3,3,3,9,Average
12414.0,217,4,532.41,2,3,2,7,Lost
12415.0,24,24,144033.37,4,5,5,14,VIP
12416.0,656,1,202.56,1,1,1,3,Lost
12417.0,3,20,5998.41,5,5,5,15,VIP
12418.0,112,4,2021.2,3,3,4,10,Average
12419.0,385,2,391.01,2,2,2,6,Lost
12420.0,63,1,600.39,3,1,2,6,Average
12421.0,15,6,874.6,5,4,3,12,Loyal
12422.0,95,12,3639.35,3,5,5,13,Average
12423.0,0,10,2301.39,5,5,4,14,VIP
12424.0,162,4,3340.03,3,3,5,11,Average
12425.0,78,2,1741.41,3,2,4,9,Average
12426.0,194,2,1201.21,2,2,3,7,Cannot Lose
12427.0,21,3,699.8,4,3,3,10,Loyal
12428.0,25,8,6405.26,4,4,5,13,VIP
12429.0,9,8,5842.41,5,4,5,14,VIP
12430.0,43,1,216.4,4,1,1,6,New / Promising
12431.0,35,25,10102.22,4,5,5,14,VIP
12432.0,42,4,4359.32,4,3,5,12,Loyal
12433.0,0,10,16794.14,5,5,5,15,VIP
12434.0,84,3,1103.43,3,3,3,9,Average
12435.0,79,6,13925.93,3,4,5,12,Average
12436.0,99,1,429.01,3,1,2,6,Average
12437.0,1,38,11282.4,5,5,5,15,VIP
12438.0,14,2,2466.85,5,2,4,11,New / Promising
12439.0,682,2,1142.88,1,2,3,6,Cannot Lose
12440.0,462,2,739.2,1,2,3,6,Cannot Lose
12441.0,366,1,155.55,2,1,1,4,Lost
12442.0,3,1,144.06,5,1,1,7,New / Promising
12443.0,732,1,365.31,1,1,2,4,Lost
12444.0,21,5,4085.46,4,4,5,13,VIP
12445.0,22,2,378.98,4,2,2,8,New / Promising
12446.0,57,1,1002.31,4,1,3,8,New / Promising
12447.0,243,1,431.49,2,1,2,5,Lost
12448.0,44,1,365.45,4,1,2,7,New / Promising
12449.0,22,5,4274.89,4,4,5,13,VIP
12450.0,156,5,688.2,3,4,3,10,Average
12451.0,10,8,12629.88,5,4,5,14,VIP
12452.0,16,1,348.57,5,1,2,8,New / Promising
12453.0,134,1,707.09,3,1,3,7,Average
12454.0,56,4,16459.78,4,3,5,12,Loyal
12455.0,73,9,5722.95,3,5,5,13,Average
12456.0,44,3,2581.04,4,3,4,11,Loyal
12457.0,66,7,2555.91,3,4,4,11,Average
12458.0,71,4,1502.49,3,3,4,10,Average
12459.0,605,1,398.36,1,1,2,4,Lost
12460.0,456,1,296.65,1,1,2,4,Lost
12461.0,154,1,626.88,3,1,3,7,Average
12462.0,18,2,937.59,5,2,3,10,New / Promising
12463.0,53,4,1200.78,4,3,3,10,Loyal
12464.0,10,8,957.05,5,4,3,12,Loyal
12465.0,17,2,682.19,5,2,3,10,New / Promising
12467.0,423,1,132.8,1,1,1,3,Lost
12468.0,187,5,3238.74,2,4,5,11,At Risk
12469.0,522,2,3070.54,1,2,5,8,Cannot Lose
12470.0,689,1,211.95,1,1,1,3,Lost
12471.0,2,71,35099.9,5,5,5,15,VIP
12472.0,32,19,14971.29,4,5,5,14,VIP
12473.0,53,3,2585.73,4,3,4,11,Loyal
12474.0,17,29,11310.75,5,5,5,15,VIP
12475.0,53,2,1065.64,4,2,3,9,New / Promising
12476.0,15,18,12319.91,5,5,5,15,VIP
12477.0,22,9,20276.37,4,5,5,14,VIP
12478.0,3,1,545.99,5,1,2,8,New / Promising
12479.0,11,1,473.2,5,1,2,8,New / Promising
12480.0,28,7,4834.85,4,4,5,13,VIP
12481.0,22,14,11033.51,4,5,5,14,VIP
12482.0,576,27,21941.72,1,5,5,11,At Risk
12483.0,17,19,4069.18,5,5,5,15,VIP
12484.0,35,9,5557.1,4,5,5,14,VIP
12485.0,529,1,708.1,1,1,3,5,Cannot Lose
12486.0,431,1,917.28,1,1,3,5,Cannot Lose
12487.0,730,1,285.3,1,1,1,3,Lost
